Description,Date,Country, SaleAmount 
RETROSPOT CIGAR BOX MATCHES , 10/6/2011 12:15, United Kingdom, $1.25 
RETROSPOT CIGAR BOX MATCHES , 10/7/2011 11:55, United Kingdom, $1.25 
RETROSPOT CIGAR BOX MATCHES , 10/10/2011 15:27, United Kingdom, $1.25 
RETROSPOT CIGAR BOX MATCHES , 10/11/2011 16:25, United Kingdom, $1.25 
COSY HOUR CIGAR BOX MATCHES , 10/13/2011 12:59, United Kingdom, $1.25 
COSY HOUR CIGAR BOX MATCHES , 10/13/2011 13:35, United Kingdom, $1.25 
COSY HOUR CIGAR BOX MATCHES , 10/14/2011 14:58, United Kingdom, $1.25 
RETROSPOT CIGAR BOX MATCHES , 10/17/2011 12:50, United Kingdom, $1.25 
RETROSPOT CIGAR BOX MATCHES , 10/23/2011 15:27, United Kingdom, $1.25 
RETROSPOT CIGAR BOX MATCHES , 10/24/2011 11:33, United Kingdom, $1.25 
COSY HOUR CIGAR BOX MATCHES , 10/25/2011 10:32, United Kingdom, $1.25 
RETROSPOT CIGAR BOX MATCHES , 10/27/2011 20:09, United Kingdom, $1.25 
RETROSPOT CIGAR BOX MATCHES , 10/28/2011 16:10, United Kingdom, $1.25 
COSY HOUR CIGAR BOX MATCHES , 10/30/2011 13:09, United Kingdom, $1.25 
RETROSPOT CIGAR BOX MATCHES , 10/30/2011 13:19, United Kingdom, $1.25 
COSY HOUR CIGAR BOX MATCHES , 10/31/2011 11:57, United Kingdom, $1.25 
RETROSPOT CIGAR BOX MATCHES , 11/3/2011 15:09, United Kingdom, $1.25 
COSY HOUR CIGAR BOX MATCHES , 11/3/2011 15:09, United Kingdom, $1.25 
RETROSPOT CIGAR BOX MATCHES , 11/3/2011 16:30, United Kingdom, $1.25 
RETROSPOT CIGAR BOX MATCHES , 11/3/2011 17:39, United Kingdom, $1.25 
COSY HOUR CIGAR BOX MATCHES , 11/4/2011 12:05, United Kingdom, $1.25 
RETROSPOT CIGAR BOX MATCHES , 11/4/2011 12:20, United Kingdom, $1.25 
RETROSPOT CIGAR BOX MATCHES , 11/6/2011 12:20, United Kingdom, $1.25 
COSY HOUR CIGAR BOX MATCHES , 11/6/2011 12:31, United Kingdom, $1.25 
RETROSPOT CIGAR BOX MATCHES , 11/6/2011 12:44, United Kingdom, $1.25 
COSY HOUR CIGAR BOX MATCHES , 11/6/2011 13:32, United Kingdom, $1.25 
RETROSPOT CIGAR BOX MATCHES , 11/6/2011 13:32, United Kingdom, $1.25 
RETROSPOT CIGAR BOX MATCHES , 11/7/2011 12:29, United Kingdom, $1.25 
RETROSPOT CIGAR BOX MATCHES , 11/8/2011 10:09, United Kingdom, $1.25 
COSY HOUR CIGAR BOX MATCHES , 11/9/2011 12:00, United Kingdom, $1.25 
RETROSPOT CIGAR BOX MATCHES , 11/10/2011 13:03, United Kingdom, $1.25 
RETROSPOT CIGAR BOX MATCHES , 11/10/2011 19:53, United Kingdom, $1.25 
COSY HOUR CIGAR BOX MATCHES , 11/11/2011 10:50, United Kingdom, $1.25 
COSY HOUR CIGAR BOX MATCHES , 11/13/2011 16:18, United Kingdom, $1.25 
RETROSPOT CIGAR BOX MATCHES , 11/14/2011 12:47, United Kingdom, $1.25 
COSY HOUR CIGAR BOX MATCHES , 11/14/2011 15:51, United Kingdom, $1.25 
RETROSPOT CIGAR BOX MATCHES , 11/15/2011 17:26, United Kingdom, $1.25 
COSY HOUR CIGAR BOX MATCHES , 11/16/2011 12:19, United Kingdom, $1.25 
COSY HOUR CIGAR BOX MATCHES , 11/16/2011 12:25, United Kingdom, $1.25 
RETROSPOT CIGAR BOX MATCHES , 11/16/2011 16:42, United Kingdom, $1.25 
RETROSPOT CIGAR BOX MATCHES , 11/17/2011 14:26, United Kingdom, $1.25 
COSY HOUR CIGAR BOX MATCHES , 11/17/2011 14:26, United Kingdom, $1.25 
COSY HOUR CIGAR BOX MATCHES , 11/17/2011 17:18, United Kingdom, $1.25 
RETROSPOT CIGAR BOX MATCHES , 11/17/2011 19:48, United Kingdom, $1.25 
RETROSPOT CIGAR BOX MATCHES , 11/20/2011 11:28, United Kingdom, $1.25 
RETROSPOT CIGAR BOX MATCHES , 11/21/2011 12:05, United Kingdom, $1.25 
COSY HOUR CIGAR BOX MATCHES , 11/21/2011 15:57, United Kingdom, $1.25 
COSY HOUR CIGAR BOX MATCHES , 11/22/2011 12:07, United Kingdom, $1.25 
COSY HOUR CIGAR BOX MATCHES , 11/22/2011 12:24, United Kingdom, $1.25 
RETROSPOT CIGAR BOX MATCHES , 11/22/2011 13:20, United Kingdom, $1.25 
RETROSPOT CIGAR BOX MATCHES , 11/22/2011 14:21, United Kingdom, $1.25 
RETROSPOT CIGAR BOX MATCHES , 11/23/2011 13:27, United Kingdom, $1.25 
RETROSPOT CIGAR BOX MATCHES , 11/23/2011 17:43, United Kingdom, $1.25 
RETROSPOT CIGAR BOX MATCHES , 11/25/2011 11:54, United Kingdom, $1.25 
COSY HOUR CIGAR BOX MATCHES , 11/25/2011 14:24, United Kingdom, $1.25 
COSY HOUR CIGAR BOX MATCHES , 11/27/2011 12:52, United Kingdom, $1.25 
RETROSPOT CIGAR BOX MATCHES , 11/27/2011 13:41, United Kingdom, $1.25 
COSY HOUR CIGAR BOX MATCHES , 12/9/2011 11:34, United Kingdom, $1.25 
RETROSPOT CIGAR BOX MATCHES , 12/2/2011 12:52, United Kingdom, $1.17 
RETROSPOT CIGAR BOX MATCHES , 12/4/2011 13:00, United Kingdom, $1.17 
RETROSPOT CIGAR BOX MATCHES , 12/7/2011 13:53, United Kingdom, $0.78 
RETROSPOT CIGAR BOX MATCHES , 12/7/2011 14:12, United Kingdom, $0.78 
RETROSPOT CIGAR BOX MATCHES , 12/8/2011 11:43, United Kingdom, $0.78 
RETROSPOT CIGAR BOX MATCHES , 12/8/2011 14:39, United Kingdom, $0.78 
RETROSPOT CIGAR BOX MATCHES , 12/2/2011 12:52, United Kingdom, $0.39 
RETROSPOT CIGAR BOX MATCHES , 12/2/2011 14:30, United Kingdom, $0.39 
RETROSPOT CIGAR BOX MATCHES , 12/4/2011 12:32, United Kingdom, $0.39 
RETROSPOT CIGAR BOX MATCHES , 12/5/2011 11:49, United Kingdom, $0.39 
RETROSPOT CIGAR BOX MATCHES , 12/5/2011 12:30, United Kingdom, $0.39 
RETROSPOT CIGAR BOX MATCHES , 12/5/2011 16:55, United Kingdom, $0.39 
RETROSPOT CIGAR BOX MATCHES , 12/7/2011 13:12, United Kingdom, $0.39 
RETROSPOT CIGAR BOX MATCHES , 12/7/2011 14:34, United Kingdom, $0.39 
